size temperature mag energy mag_sus sp_heat
10 2.3 0.725008 -143.276 2.08221 1.32153 
10 2.3 0.72811 -143.586 1.98958 1.28699 
10 2.3 0.729038 -143.805 1.99181 1.26785 
10 2.32 0.709828 -140.945 2.11131 1.3186 
10 2.32 0.706166 -140.392 2.12244 1.29204 
10 2.32 0.707812 -140.818 2.1766 1.31867 
10 2.32 0.709816 -140.963 2.11778 1.29099 
10 2.32 0.70756 -140.703 2.14913 1.31618 
10 2.34 0.690948 -138.283 2.26417 1.32757 
10 2.34 0.689868 -138.304 2.22908 1.27991 
10 2.34 0.688562 -138.05 2.26837 1.32276 
10 2.34 0.693274 -138.681 2.22942 1.32839 
10 2.34 0.693644 -138.795 2.25779 1.30007 
10 2.36 0.672886 -135.892 2.35734 1.30636 
10 2.36 0.673596 -135.939 2.28564 1.25939 
10 2.36 0.67231 -135.665 2.30911 1.29567 
10 2.36 0.6788 -136.424 2.26246 1.29488 
10 2.36 0.671958 -136.172 2.40728 1.33374 
10 2.38 0.651014 -133.175 2.49433 1.30991 
10 2.38 0.65274 -133.283 2.44496 1.29574 
10 2.38 0.652256 -133.139 2.43917 1.29471 
10 2.38 0.649578 -133.149 2.47454 1.29636 
10 2.38 0.658514 -133.815 2.38005 1.28274 
10 2.4 0.630754 -130.453 2.52209 1.28398 
10 2.4 0.635566 -130.818 2.49627 1.29049 
10 2.4 0.634786 -130.811 2.499 1.29307 
10 2.4 0.638908 -131.388 2.47761 1.2919 
10 2.4 0.638172 -131.247 2.47543 1.27119 
10 2.42 0.61612 -128.344 2.559 1.27628 
10 2.42 0.6098 -127.82 2.55195 1.25801 
10 2.42 0.614448 -128.293 2.53104 1.24669 
10 2.42 0.60949 -127.635 2.56852 1.27037 
10 2.42 0.60921 -127.702 2.61847 1.28588 
10 2.44 0.594256 -125.348 2.58719 1.22798 
10 2.44 0.593944 -125.559 2.579 1.24344 
10 2.44 0.600424 -126.342 2.56375 1.20827 
10 2.44 0.594484 -125.608 2.54333 1.20923 
10 2.44 0.592274 -125.538 2.60751 1.23822 
10 2.46 0.574728 -123.112 2.62858 1.19844 
10 2.46 0.57118 -122.558 2.65479 1.23118 
10 2.46 0.578738 -123.455 2.59776 1.20484 
10 2.46 0.575094 -123.314 2.59828 1.17538 
10 2.46 0.576052 -123.372 2.64313 1.22593 
10 2.48 0.559042 -121.154 2.63834 1.16222 
10 2.48 0.552246 -120.512 2.65952 1.17218 
10 2.48 0.554086 -120.726 2.65812 1.15428 
10 2.48 0.55754 -121.216 2.64215 1.15079 
10 2.48 0.552824 -120.747 2.66743 1.20553 
10 2.5 0.537602 -118.526 2.59189 1.12158 
10 2.5 0.540376 -118.966 2.67221 1.15307 
10 2.5 0.536782 -118.43 2.6154 1.14009 
10 2.5 0.544642 -119.246 2.57887 1.11697 
10 2.5 0.537468 -118.122 2.5745 1.10357 
10 2.52 0.52923 -117.364 2.56334 1.08101 
10 2.52 0.519446 -116.018 2.6138 1.09988 
10 2.52 0.525482 -117.082 2.58289 1.07868 
10 2.52 0.519676 -116.337 2.59583 1.08961 
10 2.52 0.524428 -116.839 2.54908 1.06816 
10 2.54 0.51209 -115.218 2.52547 1.05247 
10 2.54 0.50777 -114.468 2.53569 1.06557 
10 2.54 0.50116 -114.084 2.55074 1.03059 
10 2.54 0.499246 -113.689 2.60538 1.06802 
10 2.54 0.504086 -114.414 2.53987 1.03321 
10 2.56 0.491816 -112.218 2.53102 1.04778 
10 2.56 0.49162 -112.934 2.58492 1.01578 
10 2.56 0.483956 -111.33 2.49244 1.03795 
10 2.56 0.49465 -113.006 2.46964 1.01221 
10 2.56 0.486446 -111.774 2.47809 0.988067 
10 2.58 0.465734 -109.386 2.45926 0.972543 
10 2.58 0.468054 -109.646 2.46031 0.991276 
10 2.58 0.46921 -109.818 2.41737 0.94272 
10 2.58 0.470672 -109.891 2.5239 0.993956 
10 2.58 0.471148 -109.915 2.45821 0.972786 
10 2.6 0.452892 -107.589 2.46304 0.963753 
10 2.6 0.46314 -108.994 2.4189 0.924653 
10 2.6 0.452112 -107.557 2.43123 0.936633 
10 2.6 0.457806 -108.309 2.42692 0.962273 
