size temperature m m2 m4 ms e sp_h 
10 1.845 0.979556 0.960377 0.92535 0.0459297 -211.927 0.289239 
10 1.845 0.979204 0.959739 0.92427 0.0487115 -211.89 0.285829 
10 1.85 0.979178 0.959727 0.924328 0.05069 -211.912 0.282722 
10 1.85 0.979092 0.959539 0.923946 0.0496333 -211.84 0.288887 
10 1.85 0.979358 0.960065 0.924859 0.0498956 -211.95 0.276 
10 1.855 0.97908 0.959426 0.923461 0.0446422 -211.771 0.270555 
10 1.855 0.979304 0.959994 0.924821 0.0516483 -211.967 0.280166 
10 1.855 0.978794 0.958986 0.92297 0.0511022 -211.779 0.290552 
10 1.86 0.978778 0.958857 0.922444 0.0457283 -211.665 0.277734 
10 1.86 0.978602 0.958589 0.922164 0.0498197 -211.682 0.289948 
10 1.86 0.978134 0.957688 0.920482 0.0506192 -211.479 0.291479 
10 1.865 0.977846 0.957178 0.919683 0.0533598 -211.458 0.301688 
10 1.865 0.978104 0.957626 0.920334 0.0503509 -211.447 0.291165 
10 1.865 0.978116 0.9577 0.920576 0.0530086 -211.453 0.293485 
10 1.87 0.977768 0.956971 0.919123 0.0503004 -211.355 0.292566 
10 1.87 0.977694 0.956865 0.919006 0.0523552 -211.361 0.289737 
10 1.87 0.97728 0.95604 0.917425 0.0515445 -211.204 0.298269 
10 1.875 0.97699 0.955481 0.916349 0.0518112 -211.03 0.292077 
10 1.875 0.977126 0.955771 0.916994 0.0531211 -211.136 0.299907 
10 1.875 0.976782 0.955135 0.915892 0.0550232 -211.061 0.307167 
10 1.88 0.976312 0.954232 0.914231 0.0556893 -210.883 0.308041 
10 1.88 0.977046 0.955633 0.916792 0.0539635 -211.07 0.305351 
10 1.88 0.976704 0.955019 0.915716 0.0568051 -210.984 0.304729 
10 1.885 0.97634 0.954267 0.914228 0.0544872 -210.864 0.305499 
10 1.885 0.976244 0.954087 0.913906 0.0548824 -210.75 0.31132 
10 1.885 0.976472 0.954546 0.914819 0.0556283 -210.871 0.310968 
10 1.89 0.975236 0.952237 0.910706 0.0609325 -210.506 0.318849 
10 1.89 0.97552 0.952759 0.911624 0.0592598 -210.589 0.319164 
10 1.89 0.975594 0.952934 0.91201 0.0608755 -210.621 0.319192 
10 1.895 0.975888 0.953417 0.912701 0.0559352 -210.693 0.30302 
10 1.895 0.975538 0.952797 0.911739 0.059228 -210.64 0.318262 
10 1.895 0.975408 0.952509 0.911061 0.0574329 -210.523 0.314797 
10 1.9 0.974514 0.9508 0.907964 0.0591002 -210.251 0.326852 
10 1.9 0.97476 0.951352 0.909179 0.0628707 -210.386 0.326074 
