size temperature m mag_sus 
32 2.329 0.482652 20.8885 
32 2.329 0.484205 20.3392 
32 2.33 0.48041 20.41 
32 2.33 0.479585 20.7263 
32 2.33 0.479203 20.776 
32 2.33 0.478883 20.3525 
32 2.33 0.479639 20.5468 
32 2.331 0.473565 20.875 
32 2.331 0.476539 20.7649 
32 2.331 0.480697 20.4163 
32 2.331 0.477769 20.5247 
32 2.331 0.474324 20.8567 
32 2.332 0.477213 20.4829 
32 2.332 0.477493 20.5471 
32 2.332 0.476995 20.4821 
32 2.332 0.473693 20.7417 
32 2.332 0.473683 20.9177 
32 2.333 0.474693 20.3897 
32 2.333 0.468803 21.0911 
32 2.333 0.472012 20.6536 
32 2.333 0.467888 20.9214 
32 2.333 0.470508 20.7766 
32 2.334 0.466165 21.0765 
32 2.334 0.469216 20.4246 
32 2.334 0.46725 20.7693 
32 2.334 0.467852 20.8884 
32 2.334 0.468855 20.8096 
32 2.335 0.462315 21.0066 
32 2.335 0.462722 20.759 
32 2.335 0.468696 20.4762 
32 2.335 0.464172 20.8146 
32 2.335 0.464153 20.9645 
32 2.336 0.461405 20.8125 
32 2.336 0.462438 20.4959 
32 2.336 0.46396 20.571 
32 2.336 0.465467 20.4451 
32 2.336 0.463345 20.6531 
32 2.337 0.4595 20.4899 
32 2.337 0.460965 20.59 
32 2.337 0.460608 20.5911 
32 2.337 0.456335 20.9474 
32 2.337 0.461628 20.7424 
32 2.338 0.450771 20.7415 
32 2.338 0.453913 20.6657 
32 2.338 0.456102 20.6933 
32 2.338 0.460306 20.6116 
32 2.338 0.455316 20.77 
32 2.339 0.453977 20.5865 
32 2.339 0.454596 20.8819 
32 2.339 0.456844 20.399 
32 2.339 0.451637 20.6663 
32 2.339 0.451855 20.8711 
32 2.34 0.45198 20.8425 
32 2.34 0.452513 20.5552 
32 2.34 0.450486 20.8361 
32 2.34 0.451496 20.4287 
32 2.34 0.450938 20.4561 
32 2.341 0.447589 20.507 
32 2.341 0.446882 20.7392 
32 2.341 0.45147 20.5746 
32 2.341 0.447455 21.0199 
32 2.341 0.44938 20.9107 
32 2.342 0.446599 20.9409 
32 2.342 0.446543 20.1285 
32 2.342 0.448479 20.1139 
32 2.342 0.446087 20.7015 
32 2.342 0.443896 21.0594 
32 2.343 0.437703 20.7915 
32 2.343 0.441288 20.9506 
32 2.343 0.441302 20.554 
32 2.343 0.440133 20.8878 
32 2.343 0.442819 20.5846 
32 2.344 0.441348 20.3527 
32 2.344 0.437615 20.4947 
32 2.344 0.436726 20.3892 
32 2.344 0.440398 20.4182 
32 2.344 0.442085 20.6023 
32 2.345 0.435186 20.8909 
32 2.345 0.438386 20.2 
32 2.345 0.43436 20.4379 
32 2.345 0.438098 20.3803 
32 2.345 0.435806 20.6515 
32 2.346 0.43388 20.6172 
32 2.346 0.436887 20.3889 
32 2.346 0.433912 20.4721 
32 2.346 0.440656 20.3361 
32 2.346 0.436965 20.5266 
32 2.347 0.429248 20.3886 
32 2.347 0.433665 20.1525 
32 2.347 0.428137 20.5014 
32 2.347 0.431018 20.5883 
32 2.347 0.430108 20.4103 
32 2.348 0.427124 20.4436 
32 2.348 0.429258 20.0979 
32 2.348 0.428074 20.5318 
32 2.348 0.428057 20.6233 
32 2.348 0.428517 20.3572 
32 2.349 0.428289 20.3484 
32 2.349 0.429681 19.8457 
