size temperature m m2 m4 ms e sp_h  
20 1.925 0.972644 0.946359 0.896783 0.0669297 -838.386 0.337024 
20 1.925 0.97267 0.946409 0.896882 0.0670246 -838.53 0.341145 
20 1.93 0.971774 0.944689 0.893704 0.0712804 -837.494 0.349734 
20 1.93 0.971695 0.944528 0.893368 0.0695436 -837.211 0.34582 
20 1.93 0.971943 0.945015 0.894308 0.0706736 -837.607 0.344375 
20 1.935 0.971361 0.943888 0.892195 0.0714321 -836.685 0.353425 
20 1.935 0.971134 0.943444 0.891341 0.0705624 -836.451 0.348305 
20 1.935 0.971604 0.944362 0.893096 0.0717154 -837.069 0.349052 
20 1.94 0.97089 0.942981 0.890513 0.0729356 -836.069 0.353699 
20 1.94 0.970545 0.942316 0.889273 0.073847 -835.621 0.357229 
20 1.94 0.970803 0.942822 0.890245 0.0748262 -836.166 0.358732 
20 1.945 0.970087 0.941448 0.887709 0.0779666 -835.246 0.36391 
20 1.945 0.97036 0.941962 0.888623 0.0746839 -835.391 0.358558 
20 1.945 0.970249 0.94176 0.888291 0.0775451 -835.452 0.361735 
20 1.95 0.969615 0.940551 0.886088 0.0814947 -834.703 0.375753 
20 1.95 0.969899 0.941079 0.887 0.0766979 -834.789 0.367896 
20 1.95 0.969659 0.940615 0.886129 0.0769788 -834.538 0.362037 
20 1.955 0.969399 0.940131 0.885295 0.0812284 -834.538 0.363279 
20 1.955 0.969388 0.940103 0.885216 0.0796778 -834.251 0.372216 
20 1.955 0.969041 0.93946 0.8841 0.0857443 -833.876 0.381582 
20 1.96 0.968868 0.939086 0.883276 0.0777997 -833.329 0.365196 
20 1.96 0.968524 0.938439 0.882126 0.0817636 -833.085 0.378095 
20 1.96 0.968551 0.938485 0.882191 0.0804725 -832.997 0.371498 
20 1.965 0.967792 0.937031 0.879519 0.0832691 -832.134 0.377882 
20 1.965 0.968097 0.937622 0.880624 0.0832464 -832.54 0.380068 
20 1.965 0.968157 0.937774 0.881026 0.0905491 -832.631 0.395663 
20 1.97 0.967355 0.936202 0.878021 0.0865582 -831.548 0.388341 
20 1.97 0.967629 0.936716 0.87893 0.0830941 -831.846 0.382399 
20 1.97 0.967353 0.936189 0.877964 0.084623 -831.383 0.380959 
20 1.975 0.967012 0.935546 0.87682 0.0877382 -831.227 0.386254 
20 1.975 0.966546 0.934654 0.87518 0.0894928 -830.364 0.398265 
20 1.975 0.96654 0.934627 0.875077 0.0864837 -830.381 0.388298 
20 1.98 0.965795 0.933217 0.872549 0.0923117 -829.659 0.401378 
20 1.98 0.96604 0.933676 0.873351 0.0892414 -829.73 0.398005 
20 1.98 0.966015 0.93363 0.873278 0.0897881 -829.844 0.39783 
20 1.985 0.965921 0.933451 0.872952 0.0902099 -829.691 0.390887 
20 1.985 0.965529 0.9327 0.871573 0.0913415 -829.108 0.407792 
20 1.985 0.965482 0.93261 0.871404 0.0916721 -829.086 0.393792 
20 1.99 0.964774 0.931286 0.869071 0.0998953 -828.345 0.410483 
20 1.99 0.965095 0.931876 0.870083 0.0940153 -828.701 0.404954 
20 1.99 0.96468 0.931083 0.868628 0.095504 -828.385 0.400653 
20 1.995 0.964216 0.930214 0.867098 0.100488 -827.746 0.41578 
20 1.995 0.964109 0.929998 0.866663 0.098697 -827.453 0.405809 
20 1.995 0.964225 0.930221 0.86707 0.098191 -827.553 0.410857 
20 2 0.963639 0.929088 0.864961 0.0974673 -826.754 0.409289 
20 2 0.963746 0.929311 0.86543 0.100755 -826.964 0.418161 
20 2 0.96396 0.929705 0.8661 0.0970154 -827.124 0.412247 
20 2.005 0.962971 0.927826 0.862696 0.102091 -826.004 0.419815 
20 2.005 0.962774 0.927464 0.862084 0.105768 -825.812 0.432695 
20 2.005 0.96253 0.92701 0.861289 0.108853 -825.564 0.430034 
20 2.01 0.962142 0.926257 0.859879 0.107193 -824.981 0.433273 
20 2.01 0.962236 0.926413 0.860084 0.102248 -825.11 0.416618 
20 2.01 0.96215 0.926245 0.859772 0.102028 -824.809 0.424945 
20 2.015 0.961504 0.925048 0.85769 0.110814 -824.131 0.436279 
20 2.015 0.961463 0.924967 0.857547 0.110159 -824.046 0.445515 
20 2.015 0.961947 0.925872 0.859134 0.105009 -824.742 0.423203 
20 2.02 0.960797 0.923697 0.855233 0.112102 -823.336 0.443104 
20 2.02 0.960825 0.923759 0.855362 0.113514 -823.335 0.441443 
20 2.02 0.961012 0.924094 0.855911 0.108658 -823.387 0.43989 
20 2.025 0.960246 0.922654 0.853358 0.114878 -822.742 0.449887 
20 2.025 0.960355 0.922872 0.853791 0.11643 -822.941 0.449719 
20 2.025 0.960401 0.922937 0.853832 0.112013 -822.571 0.441218 
20 2.03 0.959202 0.920677 0.8498 0.119653 -821.446 0.452062 
20 2.03 0.959541 0.92131 0.85091 0.116559 -821.815 0.451014 
20 2.03 0.959937 0.922029 0.852106 0.108439 -821.985 0.44555 
20 2.035 0.958575 0.919494 0.847681 0.123527 -820.567 0.456473 
20 2.035 0.958679 0.919666 0.847912 0.117846 -820.595 0.447912 
20 2.035 0.958507 0.919356 0.847416 0.121832 -820.635 0.46212 
20 2.04 0.957807 0.918036 0.845052 0.125616 -819.916 0.460622 
20 2.04 0.957835 0.918074 0.845079 0.122759 -819.725 0.465642 
20 2.04 0.957438 0.917349 0.843855 0.129573 -819.343 0.469203 
20 2.045 0.957653 0.917708 0.844342 0.118896 -819.181 0.455419 
20 2.045 0.957105 0.916714 0.842692 0.129682 -818.753 0.474349 
20 2.045 0.957186 0.91687 0.842986 0.129819 -818.885 0.471118 
20 2.05 0.956452 0.915466 0.840421 0.129874 -817.951 0.477194 
20 2.05 0.956362 0.915295 0.840111 0.130053 -817.929 0.476914 
20 2.05 0.956315 0.915211 0.839979 0.13123 -817.912 0.479629 
20 2.055 0.955437 0.913524 0.836862 0.129138 -816.614 0.480347 
20 2.055 0.955668 0.914005 0.837856 0.136753 -817.141 0.475738 
20 2.055 0.955531 0.913732 0.837341 0.134835 -816.937 0.485578 
20 2.06 0.95512 0.912972 0.836027 0.139442 -816.414 0.491105 
20 2.06 0.954595 0.911983 0.834249 0.142101 -815.792 0.483183 
20 2.06 0.954923 0.912578 0.83525 0.135694 -815.977 0.491007 
20 2.065 0.953635 0.910156 0.830941 0.142341 -814.589 0.495931 
20 2.065 0.953435 0.909817 0.830474 0.150806 -814.691 0.50395 
20 2.065 0.953899 0.910665 0.831884 0.143495 -815.122 0.48211 
20 2.07 0.952851 0.908703 0.828425 0.150128 -813.863 0.495103 
20 2.07 0.953281 0.909483 0.829726 0.1424 -814.142 0.490317 
20 2.07 0.952725 0.908442 0.827903 0.146308 -813.577 0.505571 
20 2.075 0.952567 0.90812 0.827255 0.141974 -813.261 0.494636 
20 2.075 0.952458 0.90793 0.826966 0.145084 -813.291 0.504295 
20 2.075 0.952044 0.907161 0.825628 0.148821 -812.703 0.511236 
20 2.08 0.951535 0.906217 0.82399 0.153374 -812.207 0.513554 
20 2.08 0.951507 0.906151 0.823835 0.151052 -812.069 0.518298 
20 2.08 0.951553 0.906282 0.824195 0.159173 -812.281 0.515139 
20 2.085 0.950662 0.904599 0.821189 0.161324 -811.232 0.525784 
20 2.085 0.950874 0.904979 0.821796 0.156723 -811.436 0.518466 
20 2.085 0.950708 0.904668 0.82126 0.157654 -811.248 0.512568 
20 2.09 0.949396 0.902228 0.817018 0.167424 -809.937 0.525642 
20 2.09 0.949589 0.902553 0.817479 0.159576 -809.808 0.531779 
20 2.09 0.949948 0.903209 0.818583 0.154671 -810.225 0.501665 
20 2.095 0.949602 0.902546 0.81737 0.152973 -809.816 0.515555 
20 2.095 0.948457 0.900458 0.813873 0.169388 -808.791 0.54107 
20 2.095 0.948501 0.900561 0.814104 0.173053 -808.723 0.543984 
20 2.1 0.948226 0.900015 0.813055 0.168079 -808.36 0.528142 
20 2.1 0.947574 0.898864 0.811075 0.184108 -807.719 0.532271 
20 2.1 0.947556 0.898776 0.810927 0.173862 -807.835 0.541853 
20 2.105 0.94632 0.896467 0.806876 0.179733 -806.268 0.543387 
20 2.105 0.94702 0.897758 0.809081 0.172978 -806.81 0.542625 
20 2.105 0.946771 0.897293 0.808269 0.174343 -806.947 0.530498 
20 2.11 0.945934 0.89575 0.805632 0.181637 -805.884 0.554468 
20 2.11 0.945369 0.894692 0.803768 0.183596 -804.965 0.556849 
