size temperature m mag_sus 
10 1.815 0.981822 0.0421334 
10 1.815 0.981642 0.043922 
10 1.815 0.982198 0.038828 
10 1.815 0.982274 0.0373988 
10 1.82 0.982116 0.0377496 
10 1.82 0.981832 0.0393804 
10 1.82 0.981588 0.0423933 
10 1.82 0.98151 0.0412352 
10 1.82 0.981522 0.0414617 
10 1.825 0.980428 0.0438738 
10 1.825 0.980964 0.0440214 
10 1.825 0.980918 0.0449489 
10 1.825 0.98093 0.0452195 
10 1.825 0.980994 0.0432883 
10 1.83 0.98075 0.0433988 
10 1.83 0.980568 0.0464785 
10 1.83 0.980742 0.0439546 
10 1.83 0.98094 0.0417353 
10 1.83 0.980036 0.044236 
10 1.835 0.980434 0.0457859 
10 1.835 0.980574 0.0426698 
10 1.835 0.980336 0.0425791 
10 1.835 0.980094 0.0445619 
10 1.835 0.980756 0.0426108 
10 1.84 0.98007 0.0431976 
10 1.84 0.980306 0.0444232 
10 1.84 0.980008 0.0441087 
10 1.84 0.980576 0.0431907 
10 1.84 0.979314 0.0492592 
10 1.845 0.979906 0.0446933 
10 1.845 0.97937 0.0460598 
10 1.845 0.979534 0.0470538 
10 1.845 0.979912 0.0446348 
10 1.845 0.979272 0.0454997 
10 1.85 0.978526 0.0516642 
10 1.85 0.979096 0.0506672 
10 1.85 0.978926 0.048662 
10 1.85 0.979536 0.044477 
10 1.85 0.97949 0.0439838 
10 1.855 0.978502 0.0508569 
10 1.855 0.979042 0.0480389 
10 1.855 0.979168 0.0480791 
10 1.855 0.97887 0.0482136 
10 1.855 0.978546 0.0485912 
10 1.86 0.97825 0.051773 
10 1.86 0.978058 0.0505435 
10 1.86 0.978614 0.0479978 
10 1.86 0.97855 0.050044 
10 1.86 0.978044 0.0519534 
10 1.865 0.977926 0.0499377 
10 1.865 0.978448 0.0535888 
10 1.865 0.9782 0.0550241 
10 1.865 0.978532 0.0514748 
10 1.865 0.978208 0.0498353 
10 1.87 0.977762 0.0490904 
10 1.87 0.977662 0.0517441 
10 1.87 0.977734 0.0509233 
10 1.87 0.977622 0.0541725 
10 1.87 0.977708 0.05198 
10 1.875 0.976736 0.0585721 
10 1.875 0.976874 0.0578532 
10 1.875 0.976916 0.0538842 
10 1.875 0.97672 0.0577985 
10 1.875 0.977368 0.0538769 
10 1.88 0.976152 0.057106 
10 1.88 0.977144 0.0547108 
10 1.88 0.976616 0.0576462 
10 1.88 0.97667 0.0584846 
10 1.88 0.976512 0.0560422 
10 1.885 0.976088 0.05762 
10 1.885 0.976948 0.0544491 
10 1.885 0.975642 0.0587718 
10 1.885 0.97615 0.0589166 
10 1.885 0.97587 0.0602877 
10 1.89 0.975976 0.0585676 
10 1.89 0.975802 0.0557766 
10 1.89 0.976082 0.0548809 
10 1.89 0.975434 0.0586366 
10 1.89 0.975528 0.0563006 
10 1.895 0.975486 0.0583886 
10 1.895 0.975938 0.0540676 
10 1.895 0.97497 0.0621477 
10 1.895 0.974818 0.0610948 
10 1.895 0.974842 0.0619776 
10 1.9 0.97468 0.060443 
10 1.9 0.97475 0.0622146 
10 1.9 0.974672 0.0583922 
10 1.9 0.9749 0.0622942 
10 1.9 0.974332 0.0624523 
10 1.905 0.973984 0.0651952 
10 1.905 0.97442 0.0626385 
10 1.905 0.974586 0.0593684 
10 1.905 0.9746 0.061243 
10 1.905 0.97382 0.063591 
10 1.91 0.973988 0.0637621 
10 1.91 0.973884 0.0645966 
10 1.91 0.97325 0.0666637 
10 1.91 0.974134 0.0608979 
10 1.91 0.973474 0.06501 
10 1.915 0.97283 0.0721959 
10 1.915 0.972752 0.0663492 
10 1.915 0.9731 0.0660089 
10 1.915 0.973606 0.0669847 
10 1.915 0.973812 0.0626772 
10 1.92 0.973704 0.0686688 
10 1.92 0.97328 0.0666397 
10 1.92 0.973326 0.061803 
10 1.92 0.972208 0.0716461 
10 1.92 0.973608 0.0641803 
10 1.925 0.972246 0.0673328 
10 1.925 0.972424 0.0749613 
10 1.925 0.972412 0.0664282 
10 1.925 0.971758 0.0740379 
10 1.925 0.973244 0.0670564 
10 1.93 0.971968 0.0756833 
10 1.93 0.971346 0.0773237 
10 1.93 0.971826 0.0705547 
10 1.93 0.971916 0.0706119 
10 1.93 0.972384 0.0667066 
10 1.935 0.971396 0.072474 
10 1.935 0.971014 0.0805463 
10 1.935 0.971084 0.0705046 
10 1.935 0.970598 0.0790802 
10 1.935 0.971908 0.0700093 
10 1.94 0.971258 0.0738071 
10 1.94 0.971182 0.0740393 
10 1.94 0.970526 0.0730002 
10 1.94 0.970184 0.0728024 
10 1.94 0.970584 0.0752608 
10 1.945 0.969672 0.0809528 
10 1.945 0.9705 0.0719296 
10 1.945 0.969826 0.0765311 
10 1.945 0.970678 0.0767764 
10 1.945 0.969878 0.0821874 
