J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1.47 0.99635 0.992797 0.985968 0.00567058 -233.329 0.0776525 
0.1 0.075 1.47 0.996204 0.992507 0.985397 0.00574628 -233.263 0.0779233 
0.1 0.075 1.475 0.99628 0.992656 0.985687 0.00560282 -233.294 0.0765721 
0.1 0.075 1.475 0.996142 0.992387 0.985174 0.00600107 -233.228 0.0819483 
0.1 0.075 1.48 0.996132 0.992364 0.985114 0.00572423 -233.221 0.0793068 
0.1 0.075 1.48 0.996016 0.992139 0.984692 0.00615458 -233.181 0.0824426 
0.1 0.075 1.485 0.995916 0.991941 0.984304 0.00621959 -233.131 0.0839076 
0.1 0.075 1.485 0.996038 0.992183 0.984779 0.00613755 -233.19 0.0820285 
0.1 0.075 1.49 0.996094 0.992292 0.984987 0.00596397 -233.212 0.0801448 
0.1 0.075 1.49 0.99588 0.99187 0.984165 0.00623796 -233.114 0.0836486 
0.1 0.075 1.495 0.99581 0.991729 0.983883 0.0061434 -233.076 0.0834445 
0.1 0.075 1.495 0.99571 0.991534 0.98351 0.0064024 -233.037 0.084866 
0.1 0.075 1.5 0.995684 0.991484 0.983416 0.00647548 -233.031 0.0858615 
0.1 0.075 1.5 0.9957 0.991517 0.983487 0.00657 -233.033 0.0871959 
0.1 0.075 1.505 0.995582 0.991282 0.98302 0.00653563 -232.98 0.0867606 
0.1 0.075 1.505 0.99562 0.991359 0.98318 0.00665087 -233 0.0875633 
0.1 0.075 1.51 0.99553 0.991189 0.982874 0.00720921 -232.964 0.093248 
0.1 0.075 1.51 0.995676 0.991472 0.983408 0.00671941 -233.029 0.0876708 
0.1 0.075 1.515 0.995342 0.990814 0.982131 0.0071672 -232.88 0.0923781 
0.1 0.075 1.515 0.99538 0.990886 0.982261 0.00692908 -232.886 0.091697 
0.1 0.075 1.52 0.99547 0.991062 0.982596 0.00667889 -232.93 0.0873543 
0.1 0.075 1.52 0.995424 0.990975 0.98244 0.00696975 -232.913 0.0906445 
0.1 0.075 1.525 0.995326 0.990784 0.982077 0.00721533 -232.881 0.091074 
0.1 0.075 1.525 0.995414 0.990954 0.982393 0.00686483 -232.908 0.089166 
0.1 0.075 1.53 0.995038 0.990215 0.980967 0.00747572 -232.739 0.0971087 
0.1 0.075 1.53 0.995094 0.990323 0.98117 0.00727655 -232.757 0.093785 
0.1 0.075 1.535 0.995104 0.990342 0.9812 0.00714197 -232.759 0.093032 
0.1 0.075 1.535 0.99495 0.990038 0.98061 0.00733143 -232.687 0.0966598 
0.1 0.075 1.54 0.995032 0.990206 0.980957 0.00760773 -232.729 0.0974334 
0.1 0.075 1.54 0.99503 0.990196 0.98092 0.00725579 -232.729 0.0939418 
0.1 0.075 1.545 0.994492 0.989145 0.97891 0.00845967 -232.501 0.105045 
0.1 0.075 1.545 0.994694 0.989543 0.979679 0.00818941 -232.593 0.100795 
0.1 0.075 1.55 0.994764 0.989675 0.97992 0.0077435 -232.616 0.0980712 
0.1 0.075 1.55 0.994712 0.989572 0.979719 0.00777529 -232.593 0.0986238 
0.1 0.075 1.555 0.994354 0.988872 0.978374 0.00846834 -232.434 0.106032 
0.1 0.075 1.555 0.994696 0.989539 0.979647 0.00764679 -232.58 0.0981072 
0.1 0.075 1.56 0.994278 0.988718 0.978063 0.00830376 -232.389 0.105583 
0.1 0.075 1.56 0.994452 0.989062 0.978735 0.00818588 -232.471 0.102749 
0.1 0.075 1.565 0.994358 0.988881 0.978398 0.00850913 -232.441 0.10481 
0.1 0.075 1.565 0.994074 0.988319 0.9773 0.00871326 -232.306 0.108235 
0.1 0.075 1.57 0.994188 0.988547 0.977751 0.00872743 -232.359 0.10803 
0.1 0.075 1.57 0.994186 0.988543 0.977745 0.00873869 -232.359 0.108968 
0.1 0.075 1.575 0.994032 0.988239 0.97715 0.00882178 -232.293 0.108759 
0.1 0.075 1.575 0.994106 0.988388 0.977453 0.00896132 -232.325 0.110097 
0.1 0.075 1.58 0.99392 0.988021 0.976736 0.00909833 -232.247 0.109616 
0.1 0.075 1.58 0.99411 0.98839 0.977438 0.00858658 -232.316 0.106894 
0.1 0.075 1.585 0.993866 0.987911 0.976514 0.00894473 -232.206 0.110851 
0.1 0.075 1.585 0.99371 0.987606 0.975927 0.00922119 -232.141 0.113779 
0.1 0.075 1.59 0.993594 0.987381 0.975501 0.00953227 -232.098 0.114396 
0.1 0.075 1.59 0.993718 0.987624 0.97597 0.00931928 -232.149 0.113444 
0.1 0.075 1.595 0.99354 0.987278 0.975314 0.0097673 -232.078 0.117009 
0.1 0.075 1.595 0.993804 0.987793 0.976298 0.00918932 -232.189 0.112246 
0.1 0.075 1.6 0.993248 0.986704 0.974206 0.0101407 -231.946 0.120117 
0.1 0.075 1.6 0.993322 0.986847 0.974473 0.00988527 -231.974 0.119053 
0.1 0.075 1.605 0.993132 0.986478 0.973779 0.0103994 -231.9 0.123592 
