J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1.455 0.999304 0.998623 0.997306 0.00101688 -234.678 0.014506 
0.1 0.075 1.455 0.999268 0.998553 0.997172 0.00112331 -234.663 0.0158289 
0.1 0.075 1.46 0.99931 0.998636 0.997333 0.00104958 -234.683 0.014576 
0.1 0.075 1.46 0.9992 0.998421 0.996924 0.00142466 -234.638 0.017175 
0.1 0.075 1.465 0.99925 0.998516 0.997096 0.00106741 -234.652 0.0154204 
0.1 0.075 1.465 0.999252 0.998522 0.997112 0.00116317 -234.657 0.0159461 
0.1 0.075 1.47 0.999212 0.998442 0.996956 0.00120402 -234.638 0.0163091 
0.1 0.075 1.47 0.999264 0.998545 0.997158 0.00113866 -234.663 0.0155232 
0.1 0.075 1.475 0.999254 0.998526 0.99712 0.00116363 -234.659 0.0157858 
0.1 0.075 1.475 0.999272 0.998561 0.997189 0.00113017 -234.665 0.0153818 
0.1 0.075 1.48 0.999108 0.998237 0.996555 0.00135705 -234.591 0.0183495 
0.1 0.075 1.48 0.999228 0.998474 0.997019 0.00118135 -234.648 0.0158837 
0.1 0.075 1.485 0.999214 0.998446 0.996965 0.00120015 -234.641 0.0161723 
0.1 0.075 1.485 0.999242 0.998501 0.997067 0.00108993 -234.649 0.0153785 
0.1 0.075 1.49 0.999218 0.998456 0.996988 0.00128245 -234.647 0.0162371 
0.1 0.075 1.49 0.99913 0.998281 0.996642 0.00134249 -234.602 0.0180463 
0.1 0.075 1.495 0.999148 0.998317 0.996718 0.00138021 -234.615 0.0177167 
0.1 0.075 1.495 0.999166 0.998352 0.99678 0.00126719 -234.617 0.0170782 
0.1 0.075 1.5 0.999082 0.998187 0.99646 0.00144515 -234.58 0.0186233 
0.1 0.075 1.5 0.99907 0.998162 0.996412 0.00143834 -234.576 0.0189482 
0.1 0.075 1.505 0.999112 0.998245 0.99657 0.00131903 -234.592 0.0178729 
0.1 0.075 1.505 0.99908 0.998182 0.996451 0.0014215 -234.58 0.0186422 
0.1 0.075 1.51 0.99903 0.998084 0.996262 0.00153504 -234.559 0.0196593 
0.1 0.075 1.51 0.999042 0.998107 0.996303 0.0014518 -234.56 0.0195658 
0.1 0.075 1.515 0.999034 0.998091 0.99627 0.00143544 -234.554 0.0196488 
