J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1.53 0.994988 0.990117 0.98078 0.00759215 -232.715 0.0974208 
0.1 0.075 1.535 0.994974 0.99009 0.980728 0.00760256 -232.708 0.097901 
0.1 0.075 1.535 0.995038 0.990217 0.980977 0.00756603 -232.742 0.0968873 
0.1 0.075 1.54 0.99499 0.990123 0.980794 0.00762467 -232.723 0.095048 
0.1 0.075 1.54 0.994974 0.990089 0.980723 0.00752074 -232.709 0.0962992 
0.1 0.075 1.545 0.994972 0.990083 0.980704 0.00736306 -232.716 0.0931869 
0.1 0.075 1.545 0.994782 0.989714 0.980005 0.00793349 -232.63 0.0995498 
0.1 0.075 1.55 0.994726 0.989601 0.979778 0.00782354 -232.598 0.0994983 
0.1 0.075 1.55 0.994936 0.990012 0.980563 0.00735199 -232.685 0.0944855 
0.1 0.075 1.555 0.994352 0.988869 0.978376 0.00858264 -232.435 0.10751 
0.1 0.075 1.555 0.994484 0.989125 0.978857 0.0081578 -232.484 0.103493 
0.1 0.075 1.56 0.994388 0.988939 0.978506 0.0084324 -232.452 0.104762 
0.1 0.075 1.56 0.99437 0.988905 0.978446 0.00856046 -232.444 0.105722 
0.1 0.075 1.565 0.99429 0.988746 0.978132 0.00852626 -232.399 0.107727 
0.1 0.075 1.565 0.994406 0.988976 0.978584 0.00848736 -232.461 0.104846 
0.1 0.075 1.57 0.99419 0.98855 0.977755 0.00867541 -232.36 0.107701 
0.1 0.075 1.57 0.994012 0.988199 0.977075 0.00889069 -232.285 0.109266 
0.1 0.075 1.575 0.994026 0.988229 0.977136 0.00894167 -232.294 0.107911 
0.1 0.075 1.575 0.994144 0.988458 0.97757 0.00860618 -232.337 0.106349 
0.1 0.075 1.58 0.99401 0.988196 0.977068 0.00885063 -232.275 0.10967 
0.1 0.075 1.58 0.994162 0.988496 0.977654 0.00871631 -232.352 0.107519 
0.1 0.075 1.585 0.993778 0.987745 0.976215 0.00946162 -232.187 0.113779 
0.1 0.075 1.585 0.99389 0.987966 0.976647 0.00937715 -232.228 0.114202 
0.1 0.075 1.59 0.993886 0.987948 0.976576 0.00873579 -232.222 0.106875 
0.1 0.075 1.59 0.993424 0.987048 0.974866 0.00988404 -232.025 0.118049 
0.1 0.075 1.595 0.993576 0.987348 0.975451 0.00972616 -232.097 0.115729 
0.1 0.075 1.595 0.99378 0.987742 0.976187 0.00900512 -232.179 0.109264 
0.1 0.075 1.6 0.993522 0.987241 0.975241 0.00970472 -232.064 0.116869 
0.1 0.075 1.6 0.993426 0.987051 0.974866 0.00972141 -232.017 0.117698 
0.1 0.075 1.605 0.99332 0.986844 0.974473 0.00993505 -231.982 0.118147 
0.1 0.075 1.605 0.99303 0.986282 0.973411 0.0107975 -231.863 0.123999 
0.1 0.075 1.61 0.993114 0.98644 0.973692 0.0101952 -231.883 0.120984 
0.1 0.075 1.61 0.993084 0.98638 0.973573 0.0101819 -231.861 0.122339 
0.1 0.075 1.615 0.9929 0.986022 0.972897 0.0106297 -231.794 0.124538 
0.1 0.075 1.615 0.992986 0.986193 0.973234 0.0106578 -231.834 0.123564 
0.1 0.075 1.62 0.992504 0.985246 0.971407 0.0112525 -231.63 0.129627 
