nth step2 temp ene nn nnn nnnn 
3 1024 2.493 -164.8 -152 -140 -140
3 1024 2.493 -145.6 -136 -132 -136
3 1024 2.493 -136 -128 -116 -104
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -152 -140 -128 -124
3 1024 2.493 -153.6 -140 -128 -116
3 1024 2.493 -168 -156 -152 -152
3 1024 2.493 -188 -172 -172 -168
3 1024 2.493 -161.6 -148 -128 -124
3 1024 2.493 -143.2 -132 -124 -112
3 1024 2.493 -100.8 -92 -72 -76
3 1024 2.493 -102.4 -92 -64 -76
3 1024 2.493 -103.2 -92 -60 -84
3 1024 2.493 -132 -120 -112 -100
3 1024 2.493 -109.6 -100 -76 -80
3 1024 2.493 -109.6 -100 -76 -80
3 1024 2.493 -161.6 -148 -128 -128
3 1024 2.493 -130.4 -120 -96 -84
3 1024 2.493 -168 -156 -152 -152
3 1024 2.493 -148.8 -136 -108 -128
3 1024 2.493 -132 -120 -96 -80
3 1024 2.493 -140.8 -128 -92 -76
3 1024 2.493 -156.8 -144 -124 -116
3 1024 2.493 -160.8 -148 -132 -124
3 1024 2.493 -167.2 -152 -128 -116
3 1024 2.493 -130.4 -120 -104 -100
3 1024 2.493 -170.4 -156 -140 -152
3 1024 2.493 -173.6 -160 -152 -156
3 1024 2.493 -142.4 -132 -112 -108
3 1024 2.493 -132 -120 -96 -72
3 1024 2.493 -169.6 -156 -144 -148
3 1024 2.493 -164.8 -152 -148 -132
3 1024 2.493 -95.2 -88 -48 -44
3 1024 2.493 -150.4 -140 -128 -132
3 1024 2.493 -191.2 -176 -176 -176
3 1024 2.493 -188 -172 -164 -160
3 1024 2.493 -164 -152 -144 -144
3 1024 2.493 -118.4 -108 -72 -84
3 1024 2.493 -191.2 -176 -176 -176
3 1024 2.493 -132 -124 -124 -112
3 1024 2.493 -156 -144 -128 -128
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -177.6 -164 -160 -160
3 1024 2.493 -151.2 -140 -132 -120
3 1024 2.493 -182.4 -168 -164 -160
3 1024 2.493 -200.8 -184 -184 -184
3 1024 2.493 -145.6 -132 -96 -76
3 1024 2.493 -140 -128 -104 -80
3 1024 2.493 -155.2 -144 -140 -124
3 1024 2.493 -200.8 -184 -184 -184
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -184 -168 -156 -148
