size temperature m m2 m4 ms e sp_h 
40 1.765 0.98514 0.970535 0.942067 0.0304254 -3424 0.2111 
40 1.77 0.984831 0.969927 0.940899 0.0326542 -3422.18 0.2244 
40 1.77 0.98479 0.969846 0.940738 0.0318987 -3421.9 0.224148 
40 1.77 0.984758 0.969785 0.940625 0.0331707 -3421.79 0.230294 
40 1.775 0.98449 0.969256 0.939596 0.0324419 -3419.96 0.222684 
40 1.775 0.984515 0.969307 0.939699 0.0334035 -3420.38 0.229267 
40 1.775 0.984465 0.969208 0.939505 0.0330753 -3420.1 0.222634 
40 1.78 0.984071 0.968434 0.938011 0.0341235 -3417.79 0.229363 
40 1.78 0.984182 0.968651 0.938429 0.0336338 -3418.52 0.227017 
40 1.78 0.984229 0.968744 0.938608 0.0333713 -3418.64 0.226781 
40 1.785 0.98396 0.968217 0.937594 0.0349523 -3416.93 0.239183 
40 1.785 0.983868 0.968034 0.93724 0.0347345 -3416.62 0.23538 
40 1.785 0.983837 0.967975 0.937126 0.035158 -3416.54 0.23544 
40 1.79 0.983602 0.967513 0.936235 0.0356352 -3415.04 0.23546 
40 1.79 0.983554 0.96742 0.936057 0.0361954 -3414.71 0.240624 
40 1.79 0.983552 0.967414 0.936042 0.0351487 -3414.73 0.23227 
40 1.795 0.983198 0.96672 0.934708 0.0370874 -3412.92 0.241782 
40 1.795 0.983212 0.966746 0.934751 0.0354091 -3412.79 0.235142 
40 1.795 0.983182 0.966689 0.934646 0.0368129 -3412.71 0.241803 
40 1.8 0.982896 0.966126 0.933558 0.0367434 -3410.84 0.237766 
40 1.8 0.982802 0.965943 0.933214 0.038604 -3410.58 0.245387 
40 1.8 0.982969 0.96627 0.933842 0.0379247 -3411.29 0.245118 
40 1.805 0.982566 0.965479 0.932317 0.03836 -3409.14 0.248631 
40 1.805 0.982524 0.965398 0.93216 0.0386928 -3408.93 0.250163 
40 1.805 0.982469 0.965288 0.931948 0.0385009 -3408.37 0.249136 
40 1.81 0.982158 0.964679 0.930778 0.0399864 -3406.46 0.255629 
40 1.81 0.982346 0.965047 0.931484 0.0384469 -3407.79 0.245823 
40 1.81 0.98212 0.964606 0.930639 0.0402084 -3406.48 0.253639 
40 1.815 0.981886 0.964148 0.929763 0.0417977 -3405.09 0.261016 
40 1.815 0.981901 0.964176 0.929811 0.040411 -3405.02 0.259173 
40 1.815 0.981768 0.963916 0.929313 0.041315 -3404.51 0.259284 
40 1.82 0.981543 0.963473 0.928456 0.0404339 -3403.01 0.252797 
40 1.82 0.981506 0.9634 0.928311 0.0393092 -3402.79 0.249884 
40 1.82 0.98144 0.963272 0.928074 0.0415836 -3402.71 0.259466 
40 1.825 0.981194 0.96279 0.927148 0.0418424 -3401.03 0.25996 
40 1.825 0.981118 0.96264 0.926858 0.0416855 -3400.67 0.259812 
40 1.825 0.981233 0.962866 0.927293 0.0418393 -3401.26 0.261359 
40 1.83 0.980778 0.961974 0.925578 0.0422181 -3398.78 0.258521 
40 1.83 0.980659 0.961742 0.925141 0.044134 -3398.22 0.265783 
40 1.83 0.980686 0.961794 0.925239 0.0436531 -3398.08 0.270133 
40 1.835 0.980352 0.96114 0.923984 0.0442493 -3396.52 0.266203 
40 1.835 0.980301 0.961041 0.923795 0.0444959 -3396.17 0.269872 
40 1.835 0.980479 0.961388 0.924459 0.0436513 -3396.97 0.26733 
40 1.84 0.979919 0.960295 0.922371 0.0465918 -3393.89 0.280871 
40 1.84 0.979929 0.960314 0.922403 0.045419 -3394.08 0.275022 
40 1.84 0.980094 0.960635 0.923017 0.0448528 -3394.99 0.264864 
