size temperature m m2 m4 ms 
80 2.163 0.824336 0.680294 0.464802 2.26134 
80 2.163 0.824288 0.68023 0.464755 2.30635 
80 2.163 0.824871 0.6812 0.466039 2.33085 
80 2.163 0.825075 0.681483 0.466351 2.17155 
80 2.164 0.823644 0.679175 0.463333 2.3242 
80 2.164 0.824394 0.680375 0.46487 2.21544 
80 2.164 0.824121 0.679951 0.464369 2.296 
80 2.164 0.823828 0.67949 0.463792 2.36033 
80 2.164 0.824018 0.679758 0.464045 2.22455 
80 2.165 0.823419 0.678772 0.462707 2.22515 
80 2.165 0.823347 0.678694 0.462692 2.34334 
80 2.165 0.823135 0.678363 0.462272 2.39941 
80 2.165 0.822915 0.677981 0.461729 2.34053 
80 2.165 0.823026 0.678156 0.461939 2.31916 
80 2.166 0.822683 0.677583 0.461147 2.29092 
80 2.166 0.822201 0.676851 0.460289 2.4718 
80 2.166 0.82206 0.676582 0.459843 2.35995 
80 2.166 0.822278 0.676969 0.460433 2.4454 
80 2.166 0.822505 0.677304 0.460802 2.33475 
80 2.167 0.820823 0.674586 0.457231 2.46562 
80 2.167 0.821214 0.675208 0.458028 2.40832 
80 2.167 0.821073 0.674955 0.457636 2.34879 
80 2.167 0.821415 0.675573 0.458598 2.51293 
80 2.167 0.821689 0.675962 0.458971 2.33156 
80 2.168 0.820279 0.673715 0.456104 2.53015 
80 2.168 0.820028 0.673282 0.455458 2.46609 
80 2.168 0.820444 0.673947 0.456311 2.41506 
80 2.168 0.820279 0.6737 0.456047 2.49038 
80 2.168 0.820345 0.673821 0.456246 2.52638 
80 2.169 0.81969 0.672714 0.454681 2.42618 
80 2.169 0.818794 0.671328 0.452983 2.67044 
80 2.169 0.819472 0.672365 0.454231 2.45169 
80 2.169 0.819657 0.672684 0.454684 2.4966 
80 2.169 0.820003 0.673229 0.455368 2.43032 
80 2.17 0.818618 0.670969 0.452353 2.45761 
80 2.17 0.818738 0.671197 0.452728 2.55235 
80 2.17 0.817943 0.669943 0.451129 2.69211 
80 2.17 0.8178 0.669692 0.450781 2.64103 
80 2.17 0.818399 0.670648 0.452003 2.56996 
80 2.171 0.817959 0.669896 0.450929 2.47503 
80 2.171 0.81738 0.669033 0.449939 2.72052 
80 2.171 0.817248 0.668802 0.449616 2.67489 
80 2.171 0.817682 0.66948 0.450454 2.58244 
80 2.171 0.817988 0.66999 0.451152 2.61068 
80 2.172 0.816504 0.667578 0.447939 2.64715 
80 2.172 0.816629 0.667761 0.44815 2.58509 
80 2.172 0.8165 0.66761 0.448081 2.76107 
80 2.172 0.816877 0.668191 0.448774 2.66108 
80 2.172 0.816878 0.668191 0.44877 2.65359 
80 2.173 0.815213 0.665481 0.445179 2.67799 
80 2.173 0.81582 0.666467 0.446475 2.66665 
80 2.173 0.815007 0.665163 0.444784 2.73022 
80 2.173 0.815747 0.666361 0.446361 2.7008 
80 2.173 0.815566 0.666051 0.445935 2.66024 
80 2.174 0.814384 0.664128 0.443367 2.66721 
80 2.174 0.814456 0.664265 0.443602 2.72779 
80 2.174 0.814663 0.664591 0.444005 2.69387 
80 2.174 0.814944 0.665032 0.444555 2.64345 
80 2.174 0.81489 0.664967 0.44452 2.71272 
80 2.175 0.813555 0.662837 0.441794 2.84004 
80 2.175 0.814316 0.664046 0.443336 2.75359 
80 2.175 0.813428 0.662637 0.441534 2.85806 
80 2.175 0.813573 0.662835 0.441714 2.74521 
80 2.175 0.813857 0.663321 0.442418 2.81927 
80 2.176 0.812329 0.660866 0.439229 2.90539 
80 2.176 0.812307 0.660843 0.439203 2.94008 
80 2.176 0.812903 0.661751 0.440296 2.76369 
80 2.176 0.812665 0.661423 0.439975 2.93912 
80 2.176 0.812426 0.661004 0.439362 2.84709 
80 2.177 0.81188 0.66016 0.438334 2.97157 
80 2.177 0.811675 0.659772 0.437705 2.81141 
80 2.177 0.81138 0.659334 0.437225 2.93177 
80 2.177 0.811112 0.658948 0.436815 3.07151 
80 2.177 0.811828 0.660054 0.438159 2.90656 
80 2.178 0.810687 0.658216 0.435769 2.94512 
80 2.178 0.810237 0.657517 0.434908 3.03415 
80 2.178 0.810493 0.65792 0.435406 3.00033 
80 2.178 0.810576 0.658054 0.435591 3.00026 
80 2.178 0.810433 0.657826 0.435238 3.00856 
80 2.179 0.809105 0.655674 0.432464 3.0042 
80 2.179 0.809213 0.655896 0.432844 3.14307 
80 2.179 0.809374 0.656096 0.432997 2.96886 
80 2.179 0.809068 0.655663 0.432555 3.14658 
80 2.179 0.809575 0.656417 0.433405 2.95328 
80 2.18 0.808198 0.654273 0.430686 3.19415 
80 2.18 0.80876 0.655123 0.43174 3.02356 
80 2.18 0.808843 0.65523 0.431837 2.94383 
80 2.18 0.808487 0.654731 0.431357 3.1695 
80 2.18 0.808449 0.654707 0.431404 3.27875 
80 2.181 0.807189 0.652627 0.428582 3.14649 
80 2.181 0.807844 0.653671 0.429903 3.10885 
80 2.181 0.806493 0.651568 0.427348 3.33658 
80 2.181 0.807336 0.652844 0.428827 3.08749 
80 2.181 0.806861 0.652128 0.427994 3.23526 
80 2.182 0.805758 0.650382 0.42578 3.33295 
80 2.182 0.806927 0.652201 0.428034 3.14006 
80 2.182 0.806485 0.651504 0.427129 3.1837 
80 2.182 0.806325 0.65126 0.426856 3.22565 
80 2.182 0.806417 0.651438 0.427134 3.31658 
80 2.183 0.805083 0.649279 0.424323 3.2858 
80 2.183 0.804974 0.649072 0.423988 3.19291 
80 2.183 0.805225 0.649474 0.424505 3.18438 
80 2.183 0.804812 0.648863 0.423806 3.34645 
80 2.183 0.805294 0.649637 0.424808 3.33695 
80 2.184 0.803845 0.647298 0.421759 3.31495 
80 2.184 0.804268 0.64807 0.42289 3.58247 
80 2.184 0.804328 0.648067 0.422747 3.29235 
80 2.184 0.804478 0.648354 0.423219 3.4267 
80 2.184 0.804218 0.647906 0.422553 3.33753 
80 2.185 0.802631 0.645397 0.419413 3.46056 
80 2.185 0.803226 0.646347 0.420624 3.44396 
80 2.185 0.803292 0.646421 0.420641 3.34641 
80 2.185 0.802636 0.645406 0.4194 3.46082 
80 2.185 0.803307 0.646488 0.4208 3.47156 
80 2.186 0.8016 0.643759 0.417315 3.50412 
80 2.186 0.801578 0.643704 0.417216 3.44573 
80 2.186 0.801267 0.643302 0.416839 3.72663 
80 2.186 0.800884 0.642643 0.415966 3.59485 
80 2.186 0.802309 0.644865 0.418687 3.41093 
80 2.187 0.80103 0.642866 0.416214 3.56076 
80 2.187 0.800609 0.642212 0.415429 3.6238 
80 2.187 0.801426 0.64342 0.416773 3.32588 
80 2.187 0.800929 0.642684 0.415944 3.50187 
80 2.187 0.801443 0.643474 0.416907 3.40614 
80 2.188 0.800097 0.64139 0.414345 3.61295 
80 2.188 0.800017 0.64126 0.414169 3.60448 
80 2.188 0.79984 0.640973 0.413802 3.59532 
80 2.188 0.79902 0.639707 0.412234 3.72728 
80 2.188 0.799261 0.640091 0.412758 3.7256 
80 2.189 0.798688 0.639142 0.41147 3.62395 
80 2.189 0.798384 0.638787 0.411249 4.00334 
80 2.189 0.799052 0.639753 0.412333 3.70772 
80 2.189 0.798912 0.639524 0.411974 3.69295 
80 2.189 0.797947 0.638107 0.41041 4.05613 
80 2.19 0.796831 0.636293 0.408054 3.95568 
80 2.19 0.797997 0.638059 0.410155 3.68211 
80 2.19 0.796703 0.636067 0.407757 3.8909 
80 2.19 0.797276 0.63699 0.408951 3.9198 
80 2.19 0.797413 0.637187 0.40914 3.85302 
80 2.191 0.796078 0.635071 0.406473 3.88584 
80 2.191 0.796366 0.63551 0.406987 3.82963 
80 2.191 0.796071 0.635068 0.406492 3.91223 
80 2.191 0.796083 0.63509 0.406528 3.9209 
