size temperature m m2 m4 ms 
16 2.278 0.701989 0.531184 0.332822 4.31489 
16 2.279 0.69817 0.526534 0.327942 4.3912 
16 2.279 0.702091 0.53094 0.33211 4.26937 
16 2.279 0.698582 0.526497 0.327877 4.32246 
16 2.279 0.703618 0.532342 0.333195 4.18578 
16 2.279 0.700569 0.530101 0.332236 4.41504 
16 2.28 0.699029 0.526443 0.327359 4.24441 
16 2.28 0.69765 0.525892 0.327482 4.39877 
16 2.28 0.699926 0.528222 0.329756 4.30325 
16 2.28 0.701616 0.530389 0.331715 4.28053 
16 2.28 0.699609 0.527742 0.329123 4.29911 
16 2.281 0.696863 0.524814 0.326473 4.39907 
16 2.281 0.699534 0.528344 0.33044 4.37671 
16 2.281 0.699108 0.526829 0.328043 4.27348 
16 2.281 0.696202 0.524072 0.325973 4.41911 
16 2.281 0.698174 0.527246 0.329613 4.46667 
16 2.282 0.694725 0.52261 0.324755 4.48358 
16 2.282 0.69098 0.518798 0.32189 4.63815 
16 2.282 0.695627 0.523794 0.325736 4.47586 
16 2.282 0.694996 0.522591 0.324821 4.43926 
16 2.282 0.697287 0.524184 0.324991 4.26019 
16 2.283 0.69628 0.523717 0.325236 4.36327 
16 2.283 0.694846 0.522428 0.324181 4.44239 
16 2.283 0.695616 0.523174 0.325134 4.40597 
16 2.283 0.693755 0.520812 0.323129 4.43096 
16 2.283 0.69273 0.519502 0.321473 4.44352 
16 2.284 0.69373 0.520068 0.321383 4.34968 
16 2.284 0.689627 0.516994 0.320192 4.64124 
16 2.284 0.692855 0.519195 0.320802 4.38763 
16 2.284 0.693754 0.521167 0.323216 4.46905 
16 2.284 0.693165 0.52116 0.32392 4.5599 
16 2.285 0.696273 0.524044 0.325461 4.39709 
16 2.285 0.689977 0.516781 0.319093 4.56134 
16 2.285 0.690877 0.518504 0.321254 4.61516 
16 2.285 0.691643 0.519226 0.322123 4.5773 
16 2.285 0.687113 0.513639 0.316713 4.65102 
16 2.286 0.689203 0.516109 0.318848 4.6035 
16 2.286 0.687405 0.514061 0.317133 4.65141 
16 2.286 0.687885 0.514676 0.317425 4.64635 
16 2.286 0.688145 0.514889 0.317793 4.63021 
16 2.286 0.693665 0.521197 0.323026 4.48241 
16 2.287 0.689258 0.516272 0.319274 4.61128 
16 2.287 0.68953 0.515564 0.31813 4.49011 
16 2.287 0.690339 0.517347 0.319603 4.56464 
16 2.287 0.690741 0.517379 0.31932 4.50606 
16 2.287 0.687968 0.515318 0.318728 4.70341 
16 2.288 0.685438 0.511043 0.31406 4.61182 
16 2.288 0.68609 0.511861 0.314549 4.60327 
16 2.288 0.68808 0.514753 0.317414 4.62084 
16 2.288 0.688384 0.513631 0.315027 4.44842 
16 2.288 0.687766 0.512843 0.3143 4.45543 
16 2.289 0.684969 0.510733 0.313381 4.64705 
16 2.289 0.684504 0.509874 0.312596 4.62216 
16 2.289 0.686685 0.512918 0.315678 4.62803 
16 2.289 0.686702 0.512579 0.314899 4.58751 
16 2.289 0.685697 0.51087 0.312994 4.55075 
16 2.29 0.683245 0.507984 0.310405 4.60143 
16 2.29 0.68398 0.509229 0.311881 4.6281 
16 2.29 0.68298 0.508891 0.312406 4.74313 
16 2.29 0.686062 0.511525 0.313796 4.56601 
16 2.29 0.686921 0.512599 0.314971 4.55412 
