size temperature m m2 m4 mag_sus e sp_heat 
10 1.96 0.984204 0.969192 0.941297 0.0272901 -213.431 0.191325 
10 1.965 0.98431 0.969393 0.941652 0.0267941 -213.462 0.186734 
10 1.965 0.983438 0.967767 0.938793 0.0313964 -213.215 0.200924 
10 1.965 0.984034 0.968871 0.940725 0.0279169 -213.42 0.190691 
10 1.97 0.983766 0.968338 0.939667 0.0275542 -213.264 0.189604 
10 1.97 0.983854 0.968523 0.940055 0.0281212 -213.269 0.195195 
10 1.97 0.984082 0.968964 0.940889 0.0277532 -213.395 0.189738 
10 1.975 0.983744 0.968314 0.939679 0.0284548 -213.266 0.189782 
10 1.975 0.98395 0.968707 0.940401 0.0277973 -213.345 0.190852 
10 1.975 0.983456 0.967747 0.938593 0.0284099 -213.158 0.195014 
10 1.98 0.983564 0.967959 0.938994 0.028308 -213.213 0.191398 
10 1.98 0.983074 0.967015 0.937236 0.0293349 -213.003 0.196782 
10 1.98 0.983012 0.966946 0.937267 0.0319701 -213.061 0.201642 
10 1.985 0.983002 0.966861 0.936898 0.028618 -212.93 0.197726 
10 1.985 0.982918 0.966719 0.9367 0.0297756 -212.952 0.199556 
10 1.985 0.983102 0.967103 0.937505 0.0308885 -213.056 0.199732 
10 1.99 0.982928 0.966737 0.936733 0.0296235 -212.949 0.199942 
10 1.99 0.98251 0.965932 0.935234 0.0304673 -212.796 0.202259 
10 1.99 0.982688 0.966271 0.935849 0.0299364 -212.85 0.198521 
10 1.995 0.982628 0.96616 0.935665 0.0302102 -212.876 0.199336 
10 1.995 0.982168 0.965273 0.934006 0.0310386 -212.675 0.201408 
10 1.995 0.982778 0.966457 0.93623 0.0303159 -212.897 0.197796 
10 2 0.982206 0.965338 0.934107 0.0304827 -212.672 0.203972 
10 2 0.982146 0.965265 0.934083 0.0326957 -212.667 0.207775 
10 2 0.981752 0.964489 0.932601 0.0325905 -212.542 0.208097 
10 2.005 0.981652 0.964287 0.932193 0.032227 -212.467 0.208648 
10 2.005 0.981542 0.964113 0.931971 0.0343253 -212.482 0.211367 
10 2.005 0.981968 0.964907 0.933391 0.0321979 -212.564 0.214047 
10 2.01 0.981456 0.963915 0.931521 0.0327702 -212.422 0.212101 
10 2.01 0.981372 0.96378 0.931351 0.0342944 -212.439 0.210284 
10 2.01 0.981668 0.964309 0.932215 0.0316745 -212.471 0.209208 
10 2.015 0.981242 0.963519 0.930821 0.0339225 -212.313 0.216194 
10 2.015 0.981164 0.963362 0.930532 0.0337233 -212.291 0.217191 
10 2.015 0.980952 0.962963 0.92981 0.0345714 -212.192 0.221232 
10 2.02 0.980916 0.962898 0.929699 0.0347624 -212.246 0.214526 
10 2.02 0.980538 0.962173 0.92837 0.0355678 -212.098 0.219479 
10 2.02 0.980348 0.961774 0.927525 0.0342712 -211.997 0.217383 
10 2.025 0.980808 0.962672 0.929224 0.0339352 -212.18 0.213047 
10 2.025 0.98083 0.962704 0.929249 0.033402 -212.152 0.214759 
10 2.025 0.980646 0.962372 0.928708 0.0348535 -212.116 0.216852 
10 2.03 0.980066 0.96128 0.926745 0.036983 -211.917 0.223766 
10 2.03 0.98024 0.961588 0.927245 0.0353312 -211.952 0.221973 
10 2.03 0.980242 0.96159 0.927238 0.03527 -211.922 0.223609 
10 2.035 0.979962 0.961054 0.926244 0.0357955 -211.82 0.220739 
10 2.035 0.979888 0.960932 0.926097 0.0369252 -211.871 0.225375 
10 2.035 0.979844 0.960855 0.925978 0.0374042 -211.836 0.22654 
10 2.04 0.978968 0.959172 0.922845 0.038885 -211.492 0.230742 
10 2.04 0.980304 0.961675 0.92729 0.0332661 -211.942 0.216516 
10 2.04 0.979966 0.96108 0.926335 0.0365901 -211.836 0.221137 
10 2.045 0.979208 0.959668 0.923891 0.0401062 -211.611 0.236829 
10 2.045 0.979152 0.959525 0.923512 0.0384392 -211.57 0.232218 
10 2.045 0.979256 0.959663 0.923573 0.0352551 -211.504 0.227998 
10 2.05 0.978396 0.958085 0.920879 0.0403155 -211.258 0.24041 
10 2.05 0.978756 0.958768 0.92212 0.0392416 -211.429 0.235067 
10 2.05 0.979154 0.959519 0.923451 0.0378948 -211.552 0.228159 
10 2.055 0.978448 0.958187 0.921048 0.040237 -211.291 0.235376 
10 2.055 0.978694 0.958678 0.922016 0.0406781 -211.405 0.232259 
10 2.055 0.978362 0.958015 0.920734 0.0400544 -211.285 0.235482 
10 2.06 0.978168 0.957647 0.920069 0.0404973 -211.186 0.239783 
10 2.06 0.978502 0.958243 0.921028 0.0377105 -211.255 0.231529 
10 2.06 0.978408 0.958086 0.920821 0.0390148 -211.289 0.234283 
10 2.065 0.977784 0.956923 0.918778 0.0417186 -211.12 0.238907 
10 2.065 0.977842 0.956993 0.918778 0.0396098 -211.056 0.237242 
10 2.065 0.977764 0.956902 0.918768 0.0426053 -211.041 0.241341 
10 2.07 0.97691 0.95523 0.915605 0.0423813 -210.72 0.250179 
10 2.07 0.977648 0.956653 0.918234 0.0414216 -210.993 0.240979 
10 2.07 0.977258 0.955942 0.917046 0.0439092 -210.922 0.247043 
10 2.075 0.977118 0.955653 0.916444 0.0430561 -210.819 0.245526 
10 2.075 0.977216 0.955816 0.916666 0.041666 -210.863 0.238729 
10 2.075 0.976626 0.954715 0.91471 0.0441762 -210.631 0.2517 
10 2.08 0.976646 0.954722 0.91465 0.0425226 -210.626 0.247262 
10 2.08 0.976638 0.954684 0.914527 0.0414739 -210.608 0.246952 
10 2.08 0.976886 0.955201 0.915577 0.043028 -210.702 0.244817 
10 2.085 0.97636 0.954287 0.914174 0.0483736 -210.59 0.260131 
10 2.085 0.976298 0.95412 0.91371 0.0461283 -210.548 0.249614 
10 2.085 0.976288 0.954056 0.913481 0.0440355 -210.451 0.252317 
10 2.09 0.975714 0.95297 0.911535 0.0455766 -210.273 0.261184 
10 2.09 0.97623 0.953935 0.913225 0.0435324 -210.483 0.245621 
10 2.09 0.976778 0.954982 0.915166 0.0424219 -210.662 0.250846 
10 2.095 0.976132 0.953798 0.913131 0.0460486 -210.469 0.253563 
10 2.095 0.975514 0.952564 0.910699 0.0447005 -210.178 0.2546 
10 2.095 0.975502 0.952581 0.91087 0.0466276 -210.234 0.259682 
10 2.1 0.97554 0.952641 0.910942 0.0458642 -210.218 0.257418 
10 2.1 0.975126 0.951847 0.909463 0.0465088 -210.063 0.257601 
10 2.1 0.97517 0.951934 0.909601 0.0465329 -210.08 0.253809 
