nth step2 temp ene nn nnn nnnn 
1 1024 2.493 -176.8 -160 -144 -124
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -192.8 -176 -168 -168
1 1024 2.493 -104 -96 -60 -44
1 1024 2.493 -160.8 -148 -132 -120
1 1024 2.493 -142.4 -132 -120 -124
1 1024 2.493 -174.4 -160 -148 -140
1 1024 2.493 -159.2 -148 -140 -132
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -183.2 -168 -160 -156
1 1024 2.493 -163.2 -148 -136 -140
1 1024 2.493 -115.2 -104 -68 -72
1 1024 2.493 -96 -88 -52 -40
1 1024 2.493 -100 -92 -52 -44
1 1024 2.493 -175.2 -160 -144 -152
1 1024 2.493 -150.4 -140 -128 -108
1 1024 2.493 -166.4 -152 -132 -120
1 1024 2.493 -165.6 -152 -136 -132
1 1024 2.493 -169.6 -156 -144 -136
1 1024 2.493 -193.6 -176 -172 -168
1 1024 2.493 -175.2 -160 -144 -148
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -156.8 -144 -124 -124
1 1024 2.493 -165.6 -152 -136 -124
1 1024 2.493 -156.8 -144 -124 -128
1 1024 2.493 -165.6 -152 -136 -144
1 1024 2.493 -116 -108 -76 -72
1 1024 2.493 -134.4 -124 -96 -92
1 1024 2.493 -156 -144 -136 -128
1 1024 2.493 -136.8 -128 -112 -108
1 1024 2.493 -145.6 -136 -124 -128
1 1024 2.493 -137.6 -128 -108 -92
1 1024 2.493 -179.2 -164 -152 -144
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -202.4 -184 -176 -180
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -139.2 -128 -100 -72
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -188.8 -172 -160 -152
1 1024 2.493 -164 -152 -144 -144
1 1024 2.493 -176.8 -160 -136 -132
1 1024 2.493 -192 -176 -172 -168
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -151.2 -140 -124 -136
1 1024 2.493 -188 -172 -164 -160
1 1024 2.493 -141.6 -132 -124 -112
1 1024 2.493 -172 -160 -160 -160
1 1024 2.493 -169.6 -156 -152 -156
1 1024 2.493 -156 -144 -136 -116
1 1024 2.493 -179.2 -164 -160 -156
1 1024 2.493 -188 -172 -172 -168
1 1024 2.493 -173.6 -160 -152 -156
1 1024 2.493 -180.8 -164 -144 -144
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -151.2 -140 -124 -112
1 1024 2.493 -144 -132 -112 -92
1 1024 2.493 -133.6 -124 -100 -68
1 1024 2.493 -164.8 -152 -148 -144
1 1024 2.493 -160 -148 -136 -136
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -167.2 -152 -136 -124
1 1024 2.493 -156 -144 -128 -124
1 1024 2.493 -156 -144 -128 -132
