sizes temp ene 
10 1.65 -216.094 
10 1.65 -216.196 
10 1.65 -216.211 
10 1.65 -216.021 
10 1.65 -216.155 
10 1.65 -216.177 
10 1.65 -216.147 
10 1.65 -216.279 
10 1.65 -216.116 
10 1.65 -216.131 
10 1.65 -216.213 
10 1.65 -216.106 
10 1.65 -216.075 
10 1.65 -216.205 
10 1.65 -216.062 
10 1.65 -216.229 
10 1.65 -216.109 
10 1.65 -216.171 
10 1.65 -216.221 
10 1.65 -216.119 
10 1.65 -216.121 
10 1.65 -216.288 
10 1.65 -216.261 
10 1.655 -216.126 
10 1.655 -216.052 
10 1.655 -216.139 
10 1.655 -216.018 
10 1.655 -216.135 
10 1.655 -216.052 
10 1.655 -216.134 
10 1.655 -216.006 
10 1.655 -216.036 
10 1.655 -216.04 
10 1.655 -215.921 
10 1.655 -216.125 
10 1.655 -216.108 
10 1.655 -216.035 
10 1.655 -216.088 
10 1.655 -216.004 
10 1.655 -216.081 
10 1.655 -216.121 
10 1.655 -216.113 
10 1.655 -216.032 
10 1.655 -216.069 
10 1.655 -216.081 
10 1.655 -216.042 
10 1.655 -216.045 
10 1.655 -216.08 
10 1.66 -215.862 
10 1.66 -215.949 
10 1.66 -216.05 
10 1.66 -215.891 
10 1.66 -216.029 
10 1.66 -215.966 
10 1.66 -215.991 
10 1.66 -215.934 
10 1.66 -215.977 
10 1.66 -216.108 
10 1.66 -216.072 
10 1.66 -215.962 
10 1.66 -215.944 
10 1.66 -215.897 
10 1.66 -216.073 
10 1.66 -216.025 
10 1.66 -216.046 
10 1.66 -216.008 
10 1.66 -216.1 
10 1.66 -215.994 
10 1.66 -215.978 
10 1.66 -216 
10 1.66 -216.106 
10 1.66 -216.056 
10 1.66 -216.071 
10 1.665 -215.899 
10 1.665 -215.792 
10 1.665 -215.89 
10 1.665 -216.002 
10 1.665 -215.994 
10 1.665 -215.86 
10 1.665 -215.979 
10 1.665 -215.91 
10 1.665 -215.834 
10 1.665 -215.91 
10 1.665 -215.886 
10 1.665 -215.996 
10 1.665 -215.95 
10 1.665 -215.845 
10 1.665 -215.874 
10 1.665 -215.841 
10 1.665 -215.944 
10 1.665 -215.888 
10 1.665 -215.887 
10 1.665 -215.86 
10 1.665 -215.836 
10 1.665 -215.92 
10 1.665 -215.895 
10 1.665 -215.924 
10 1.665 -215.955 
10 1.67 -215.779 
10 1.67 -215.879 
10 1.67 -215.759 
10 1.67 -215.891 
10 1.67 -215.797 
10 1.67 -215.962 
10 1.67 -215.813 
10 1.67 -215.73 
10 1.67 -215.914 
10 1.67 -215.686 
10 1.67 -215.957 
