sizes temp ene 
10 3.26 -90.6872 
10 3.26 -90.9181 
10 3.26 -90.3413 
10 3.26 -91.0259 
10 3.26 -90.5428 
10 3.26 -90.281 
10 3.26 -90.7352 
10 3.26 -90.6379 
10 3.26 -90.8511 
10 3.26 -90.8822 
10 3.265 -90.3455 
10 3.265 -90.3035 
10 3.265 -90.2054 
10 3.265 -90.9592 
10 3.265 -90.0926 
10 3.265 -90.6548 
10 3.265 -90.628 
10 3.265 -90.1009 
10 3.265 -90.1882 
10 3.265 -90.2589 
10 3.265 -90.6315 
10 3.265 -90.2102 
10 3.265 -89.9846 
10 3.265 -90.4801 
10 3.265 -89.8786 
10 3.265 -90.8418 
10 3.265 -89.996 
10 3.265 -90.3398 
10 3.265 -90.5685 
10 3.265 -90.0967 
10 3.265 -90.1635 
10 3.265 -90.607 
10 3.265 -90.1871 
10 3.265 -90.665 
10 3.265 -90.4053 
10 3.27 -89.711 
10 3.27 -90.1556 
10 3.27 -90.2759 
10 3.27 -89.8929 
10 3.27 -90.0013 
10 3.27 -89.9152 
10 3.27 -90.202 
10 3.27 -90.3922 
10 3.27 -89.2852 
10 3.27 -89.9591 
10 3.27 -89.6534 
10 3.27 -90.3798 
10 3.27 -90.3192 
10 3.27 -91.0746 
10 3.27 -90.4549 
10 3.27 -90.1186 
10 3.27 -90.3323 
10 3.27 -90.228 
10 3.27 -90.1023 
10 3.27 -90.4244 
10 3.27 -90.0902 
10 3.27 -89.8369 
10 3.27 -90.2747 
10 3.27 -89.8434 
10 3.27 -90.2956 
10 3.275 -89.7665 
10 3.275 -89.5659 
10 3.275 -89.8758 
10 3.275 -89.441 
10 3.275 -90.0506 
10 3.275 -89.9612 
10 3.275 -89.8769 
10 3.275 -89.7621 
10 3.275 -90.1469 
10 3.275 -89.8118 
10 3.275 -89.7698 
10 3.275 -89.9576 
10 3.275 -89.4042 
10 3.275 -89.8526 
10 3.275 -89.7318 
10 3.275 -90.0011 
10 3.275 -89.8751 
10 3.275 -89.8808 
10 3.275 -89.421 
10 3.275 -89.8306 
10 3.275 -89.9331 
10 3.275 -89.9231 
10 3.275 -89.4475 
10 3.275 -89.7285 
10 3.275 -89.9942 
10 3.28 -89.701 
10 3.28 -89.5358 
10 3.28 -90.127 
10 3.28 -89.3787 
10 3.28 -89.5615 
10 3.28 -89.5294 
10 3.28 -89.9732 
10 3.28 -89.985 
10 3.28 -89.7348 
10 3.28 -89.4306 
10 3.28 -89.5106 
10 3.28 -89.4618 
10 3.28 -89.4388 
10 3.28 -90.0201 
10 3.28 -90.4617 
10 3.28 -89.279 
10 3.28 -89.8606 
10 3.28 -89.8363 
10 3.28 -89.3319 
10 3.28 -90.2393 
10 3.28 -89.1878 
10 3.28 -89.1795 
10 3.28 -89.6202 
10 3.28 -89.633 
10 3.28 -89.4512 
10 3.285 -89.4811 
10 3.285 -89.3151 
10 3.285 -89.6281 
10 3.285 -89.3297 
10 3.285 -89.6159 
10 3.285 -89.3718 
10 3.285 -89.0748 
10 3.285 -89.3406 
10 3.285 -88.8532 
10 3.285 -89.4185 
10 3.285 -89.2711 
10 3.285 -89.265 
10 3.285 -89.9354 
10 3.285 -89.3526 
10 3.285 -89.6561 
10 3.285 -89.4917 
10 3.285 -89.1387 
10 3.285 -89.775 
10 3.285 -89.6627 
10 3.285 -88.929 
10 3.285 -89.3298 
10 3.285 -89.3438 
10 3.285 -89.7654 
10 3.285 -89.4802 
10 3.285 -89.4186 
10 3.29 -89.1824 
10 3.29 -89.1866 
10 3.29 -89.4126 
10 3.29 -89.0871 
10 3.29 -88.3881 
10 3.29 -89.4198 
10 3.29 -89.134 
10 3.29 -88.9358 
10 3.29 -88.866 
10 3.29 -89.2066 
10 3.29 -89.4342 
10 3.29 -88.9378 
10 3.29 -89.4318 
10 3.29 -89.5165 
10 3.29 -89.4102 
10 3.29 -89.7212 
10 3.29 -89.5985 
10 3.29 -88.8334 
10 3.29 -89.4568 
10 3.29 -89.2992 
10 3.29 -89.0064 
10 3.29 -89.3447 
10 3.29 -89.0816 
10 3.29 -88.9932 
10 3.29 -89.5276 
10 3.295 -88.8634 
10 3.295 -89.0006 
10 3.295 -88.6865 
10 3.295 -88.7924 
10 3.295 -89.2201 
10 3.295 -88.8085 
10 3.295 -89.1234 
10 3.295 -88.8638 
10 3.295 -88.5421 
10 3.295 -89.2544 
10 3.295 -89.5134 
10 3.295 -89.1147 
10 3.295 -89.3029 
10 3.295 -89.3006 
10 3.295 -89.2567 
10 3.295 -88.8512 
10 3.295 -89.1376 
10 3.295 -88.315 
10 3.295 -89.2451 
10 3.295 -89.1772 
10 3.295 -88.8729 
10 3.295 -88.7174 
10 3.295 -88.9594 
10 3.295 -89.5101 
10 3.295 -88.8802 
10 3.3 -88.3258 
10 3.3 -88.6241 
10 3.3 -88.8845 
10 3.3 -88.3925 
10 3.3 -88.6544 
10 3.3 -88.7359 
10 3.3 -88.7182 
10 3.3 -88.6623 
10 3.3 -88.5368 
10 3.3 -88.5802 
10 3.3 -88.5813 
10 3.3 -88.9114 
10 3.3 -88.6158 
10 3.3 -88.9702 
10 3.3 -88.4447 
10 3.3 -89.0871 
10 3.3 -88.5107 
10 3.3 -88.4631 
10 3.3 -88.6073 
10 3.3 -88.8001 
10 3.3 -88.8165 
10 3.3 -88.5571 
10 3.3 -88.9628 
10 3.3 -88.9582 
10 3.3 -88.9289 
10 3.305 -88.9493 
10 3.305 -88.1941 
10 3.305 -88.4773 
10 3.305 -88.0948 
10 3.305 -88.357 
10 3.305 -88.0647 
10 3.305 -89.0196 
10 3.305 -88.9488 
10 3.305 -88.6158 
10 3.305 -88.4679 
10 3.305 -88.9804 
10 3.305 -88.247 
10 3.305 -88.8689 
10 3.305 -88.4594 
10 3.305 -88.7738 
10 3.305 -88.6699 
10 3.305 -88.4844 
10 3.305 -88.3213 
10 3.305 -88.7355 
10 3.305 -88.0052 
10 3.305 -87.8088 
10 3.305 -88.5882 
10 3.305 -88.9161 
10 3.305 -88.3696 
10 3.305 -88.3736 
10 3.31 -88.3527 
10 3.31 -88.7586 
10 3.31 -87.9386 
10 3.31 -88.248 
10 3.31 -88.0171 
10 3.31 -88.2571 
10 3.31 -87.9693 
10 3.31 -87.9813 
10 3.31 -88.005 
10 3.31 -88.5329 
10 3.31 -87.6622 
10 3.31 -88.545 
10 3.31 -88.1962 
10 3.31 -88.1241 
10 3.31 -88.5568 
10 3.31 -88.2583 
10 3.31 -88.2778 
10 3.31 -88.1098 
10 3.31 -88.3544 
10 3.31 -87.9229 
10 3.31 -88.479 
